city,state,station,latitude,longitude,PM10,AQI,AQI_Category
Visakhapatnam,Andhra_Pradesh,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,36.0,36,Good
Byrnihat,Assam,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,90.0,90,Satisfactory
Rajamahendravaram,Andhra_Pradesh,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,36.0,36,Good
Vijayawada,Andhra_Pradesh,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,48.0,48,Good
Guwahati,Assam,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,14.0,14,Good
Nalbari,Assam,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,24.0,24,Good
Silchar,Assam,"Tarapur, Silchar - PCBA",24.82827,92.79525,60.0,60,Satisfactory
Sivasagar,Assam,"Girls College, Sivasagar - PCBA",26.987634,94.636574,25.0,25,Good
Hajipur,Bihar,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,54.0,54,Satisfactory
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,166.0,144,Moderate
Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",30.719859,76.738637,105.0,104,Moderate
Rajgir,Bihar,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948,58.0,58,Satisfactory
Delhi,Delhi,"DTU, Delhi - CPCB",28.7500499,77.1112615,182.0,155,Moderate
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,166.0,144,Moderate
Delhi,Delhi,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,193.0,162,Moderate
Ahmedabad,Gujarat,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,68.0,68,Satisfactory
Gandhinagar,Gujarat,"GIFT City, Gandhinagar - IITM",23.163798,72.677768,82.0,82,Satisfactory
Delhi,Delhi,"Patparganj, Delhi - DPCC",28.623763,77.287209,204.0,169,Moderate
Delhi,Delhi,"Pusa, Delhi - DPCC",28.639652,77.146275,180.0,153,Moderate
Ahmedabad,Gujarat,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,74.0,74,Satisfactory
Baddi,Himachal Pradesh,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,174.0,150,Moderate
Bengaluru,Karnataka,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,85.0,85,Satisfactory
Gwalior,Madhya Pradesh,"City Center, Gwalior - MPPCB",26.203442,78.193251,103.0,102,Moderate
Gwalior,Madhya Pradesh,"Maharaj Bada, Gwalior - MPPCB",26.200388,78.147714,125.0,117,Moderate
Bhopal,Madhya Pradesh,"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,57.0,57,Satisfactory
Mangalore,Karnataka,"Kadri, Mangalore - KSPCB",12.88925,74.853,57.0,57,Satisfactory
Chamarajanagar,Karnataka,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,40.0,40,Good
Bengaluru,Karnataka,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,41.0,41,Good
Bengaluru,Karnataka,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,85.0,85,Satisfactory
Ratlam,Madhya Pradesh,"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981,67.0,67,Satisfactory
Mumbai,Maharashtra,"Bandra Kurla Complex, Mumbai - MPCB",19.065931,72.862131,66.0,66,Satisfactory
Mumbai,Maharashtra,"Borivali East, Mumbai - IITM",19.23241,72.86895,47.0,47,Good
Jabalpur,Madhya Pradesh,"Govindh Bhavan Colony, Jabalpur - JMC",23.163174,79.973061,50.0,50,Good
Boisar,Maharashtra,"Khaira, Boisar - MPCB",19.786089,72.757971,58.0,58,Satisfactory
Chandrapur,Maharashtra,"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,102.0,102,Moderate
Amravati,Maharashtra,"Shivneri Colony, Amravati - MPCB",20.9402359,77.7895248,67.0,67,Satisfactory
Amravati,Maharashtra,"Shri Shivaji Science College, Amaravati - MPCB",20.939198,77.765701,47.0,47,Good
Jabalpur,Madhya Pradesh,"Gupteshwar, Jabalpur - JMC",23.142888,79.916147,35.0,35,Good
Navi Mumbai,Maharashtra,"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978,61.0,61,Satisfactory
Navi Mumbai,Maharashtra,"Sanpada, Navi Mumbai - MPCB",19.0575752,73.0151367,72.0,72,Satisfactory
Navi Mumbai,Maharashtra,"Sector-2E Kalamboli, Navi Mumbai - MPCB",19.02579,73.10297,76.0,76,Satisfactory
Navi Mumbai,Maharashtra,"Tondare-Taloja, Navi Mumbai - MPCB",19.063,73.1209,68.0,68,Satisfactory
Pune,Maharashtra,"Bhosari, Pune - IITM",18.640051,73.848956,46.0,46,Good
Pune,Maharashtra,"Bhumkar Nagar, Pune - IITM",18.60577,73.749976,59.0,59,Satisfactory
Mumbai,Maharashtra,"Khindipada-Bhandup West, Mumbai - IITM",19.1653323,72.922099,46.0,46,Good
Mumbai,Maharashtra,"Malad West, Mumbai - IITM",19.19709,72.82204,65.0,65,Satisfactory
Mumbai,Maharashtra,"Mindspace-Malad West, Mumbai - MPCB",19.1878657,72.8304069,50.0,50,Good
Mumbai,Maharashtra,"Deonar, Mumbai - IITM",19.04946,72.923,105.0,104,Moderate
Mumbai,Maharashtra,"Kandivali East, Mumbai - MPCB",19.2058,72.8682,99.0,99,Satisfactory
Nanded,Maharashtra,"Sneh Nagar, Nanded - MPCB",19.173852,77.296291,32.0,32,Good
Nashik,Maharashtra,"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,39.0,39,Good
Mumbai,Maharashtra,"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084,73.0,73,Satisfactory
Mumbai,Maharashtra,"Vile Parle West, Mumbai - MPCB",19.10861,72.83622,215.0,177,Moderate
Pune,Maharashtra,"Dhankawadi, Pune - IITM",18.459883,73.852193,41.0,41,Good
Solapur,Maharashtra,"Solapur, Solapur - MPCB",17.6599188,75.9063906,72.0,72,Satisfactory
Bhubaneswar,Odisha,"Patia, Bhubaneswar - OSPCB",20.34652,85.8163,21.0,21,Good
Sikar,Rajasthan,"Radhakishan Pura, Sikar - RSPCB",27.608912,75.153302,95.0,95,Satisfactory
Sirohi,Rajasthan,"Vedhaynath Colony, Sirohi - RSPCB",24.885261,72.857549,62.0,62,Satisfactory
Tonk,Rajasthan,"Shastri Nagar, Tonk - RSPCB",26.159933,75.780517,94.0,94,Satisfactory
Kota,Rajasthan,"Shrinath Puram, Kota - RSPCB",25.14389,75.821256,94.0,94,Satisfactory
Nagaur,Rajasthan,"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,98.0,98,Satisfactory
Pratapgarh,Rajasthan,"Pragati Nagar, Pratapgarh - RSPCB",24.041198,74.780702,59.0,59,Satisfactory
Rajsamand,Rajasthan,"Dhoinda, Rajsamand - RSPCB",25.03636,73.883502,59.0,59,Satisfactory
Jhunjhunu,Rajasthan,"Indra Nagar, Jhunjhunu - RSPCB",28.108988,75.386577,102.0,102,Moderate
Jodhpur,Rajasthan,"Digari Kalan, Jodhpur - RSPCB",26.29581,73.082283,68.0,68,Satisfactory
Bundi,Rajasthan,"New Colony, Bundi - RSPCB",25.435774,75.644272,88.0,88,Satisfactory
Hyderabad,Telangana,"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,91.0,91,Satisfactory
Cuddalore,TamilNadu,"Kudikadu, Cuddalore - TNPCB",11.6829898,79.7532099,16.0,16,Good
Tirunelveli,TamilNadu,"Municipal Corporation Office, Tirunelveli - TNPCB",8.728442,77.6962,31.0,31,Good
Hyderabad,Telangana,"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,59.0,59,Satisfactory
Meerut,Uttar_Pradesh,"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354,92.0,92,Satisfactory
Greater Noida,Uttar_Pradesh,"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482,105.0,104,Moderate
Greater Noida,Uttar_Pradesh,"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663,141.0,128,Moderate
Bareilly,Uttar_Pradesh,"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708,66.0,66,Satisfactory
Firozabad,Uttar_Pradesh,"Nagla Bhau, Firozabad - UPPCB",27.168897,78.37696,66.0,66,Satisfactory
Lucknow,Uttar_Pradesh,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,106.0,104,Moderate
Asansol,West_Bengal,"Trivenidevi Bhalotia College, Asansol - WBPCB",23.616515,87.119133,52.0,52,Satisfactory
Barrackpore,West_Bengal,"SVSPA Campus, Barrackpore - WBPCB",22.7605581,88.3617589,33.0,33,Good
Durgapur,West_Bengal,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",23.567923,87.306843,58.0,58,Satisfactory
Varanasi,Uttar_Pradesh,"Bhelupur, Varanasi - UPPCB",25.301778,82.996789,61.0,61,Satisfactory
Rishikesh,Uttarakhand,"Shivaji Nagar, Rishikesh - UKPCB",30.075911,78.2859547,70.0,70,Satisfactory
Prayagraj,Uttar_Pradesh,"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152,96.0,96,Satisfactory
Prayagraj,Uttar_Pradesh,"Nagar Nigam, Prayagraj - UPPCB",25.44919916,81.82735986,96.0,96,Satisfactory
Moradabad,Uttar_Pradesh,"Eco Herbal Park, Moradabad - UPPCB",28.840739,78.697531,63.0,63,Satisfactory
Moradabad,Uttar_Pradesh,"Employment Office, Moradabad - UPPCB",28.88528,78.7388,68.0,68,Satisfactory
Moradabad,Uttar_Pradesh,"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638,69.0,69,Satisfactory
Moradabad,Uttar_Pradesh,"Transport Nagar, Moradabad - UPPCB",28.802625,78.753728,61.0,61,Satisfactory
Howrah,West_Bengal,"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,50.0,50,Good
Guwahati,Assam,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,39.0,39,Good
Munger,Bihar,"Town Hall, Munger - BSPCB",25.376776,86.471523,39.0,39,Good
Muzaffarpur,Bihar,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,44.0,44,Good
Begusarai,Bihar,"Lohiyanagar, Begusarai - BSPCB",25.42742023,86.13886079,56.0,56,Satisfactory
Chittoor,Andhra_Pradesh,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,65.0,65,Satisfactory
Tirumala,Andhra_Pradesh,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",13.67,79.35,40.0,40,Good
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,178.0,152,Moderate
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,178.0,152,Moderate
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,196.0,164,Moderate
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,179.0,153,Moderate
Raipur,Chhattisgarh,"Bhatagaon New ISBT, Raipur - CECB",21.219665,81.630094,48.0,48,Good
Bilaspur,Chhattisgarh,"Mangala, Bilaspur - NTPC",22.08815,82.13737,47.0,47,Good
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,146.0,131,Moderate
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,216.0,177,Moderate
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,174.0,150,Moderate
Ankleshwar,Gujarat,"GIDC, Ankleshwar - GPCB",21.613267,73.010555,46.0,46,Good
Delhi,Delhi,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,172.0,148,Moderate
Delhi,Delhi,"R K Puram, Delhi - DPCC",28.563262,77.186937,162.0,142,Moderate
Gandhinagar,Gujarat,"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,62.0,62,Satisfactory
